src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
10.0.0.1,10.0.0.2,1740,808,6,2024-02-16 07:23:33,16391666,88.9476396114953,1.64717851132399,0.793085949896734,0.854092561427252,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630448.346153846,2862145,-9,863899.807748736,5113693,1676633,-3,426141.083333333,628952.009566636,16169123,2862145,75886,1243778.69230769,872384.204413345,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2493053,2748,881014.4,808728.412265848,2645016,18223,972232.75,821804.31323411,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,809,6,2024-02-16 07:23:33,16391677,88.9475799212002,1.64717740594815,0.79308541767874,0.854091988269412,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630448.653846154,2860941,-12,868858.826719674,5113716,1676290,-5,426143,628857.176440724,16163827,2860941,70584,1243371.30769231,882773.634790446,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2490714,2745,901574.1,814159.501039624,2642627,18228,989266,830139.780405887,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,810,6,2024-02-16 07:23:33,16391689,88.9475148046062,1.6471762000853,0.793084837078107,0.854091363007192,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630449.269230769,2860521,-8,868785.544420909,5113736,1676235,-3,426144.666666667,628885.220940506,16163820,2860521,70572,1243370.76923077,882588.966415821,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2489541,2748,901515.5,813949.303103732,2641841,18228,989181.666666667,830023.578709096,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,811,6,2024-02-16 07:23:33,16391700,88.9474551144787,1.64717509471257,0.793084304861607,0.854090789850961,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630449.692307692,2857646,-8,868416.508870855,5113760,1676151,-3,426146.666666667,628867.385107721,16163808,2857646,70558,1243369.84615385,881869.866683623,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2486179,2749,901148.7,813317.393832082,2636109,18229,988636.25,829015.680949012,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,812,6,2024-02-16 07:23:33,16391710,88.9474008507959,1.64717408982955,0.793083821029045,0.85409026880051,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630449.884615385,2857603,-13,868336.288501812,5113781,1676047,-5,426148.416666667,628870.619176348,16163796,2857603,70541,1243368.92307692,881690.299853418,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2485564,2750,900952.9,813228.253690617,2636058,18234,988469.333333333,828901.283908437,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,813,6,2024-02-16 07:23:33,16391720,88.9473465871794,1.64717308494777,0.793083337197073,0.854089747750694,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630449.807692308,2858094,-25,868366.861441284,5113801,1675676,-9,426150.083333333,628850.493793432,16163765,2858094,70504,1243366.53846154,881740.670948151,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2485439,2755,901038.7,813142.307940504,2636604,18234,988580.916666667,829026.928872585,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,814,6,2024-02-16 07:23:33,16391730,88.9472923236291,1.6471720800672,0.793082853365691,0.854089226701514,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630450.730769231,2858110,-11,868416.958616369,5113822,1675583,-4,426151.833333333,628862.629720889,16163744,2858110,70482,1243364.92307692,881812.238536549,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2485877,2757,901162.5,813272.644753437,2636999,18235,988685.083333333,829144.832216549,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,815,6,2024-02-16 07:23:33,16391741,88.9472326338002,1.6471709747,0.793082321151853,0.85408865354815,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630451.269230769,2858090,-8,868424.111481763,5113844,1676171,-3,426153.666666667,628947.245127302,16163732,2858090,70464,1243364,881768.999018974,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2485543,2756,901174.3,813238.108524932,2637034,18239,988693.416666667,829219.348332962,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,816,6,2024-02-16 07:23:33,16391751,88.9471783703889,1.64716996982202,0.793081837321711,0.854088132500305,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630451.5,2858089,-12,868401.150169235,5114464,1676129,-4,426205.333333333,629003.890042202,16163724,2858089,70452,1243363.38461538,881740.247694082,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2485113,2757,901147.2,813162.03914445,2637032,18243,988670.583333333,829196.618296234,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
10.0.0.1,10.0.0.2,1740,817,6,2024-02-16 07:23:33,16391761,88.9471241070438,1.64716896494526,0.79308135349216,0.854087611453095,13,14,702,756,54,54,54,0,54,54,54,0,54,54,54,0,0,260,280,20,0,630451.730769231,2858087,-16,868302.525395895,5114564,1676047,-7,426213.666666667,629049.926377514,16163711,2858087,70434,1243362.38461538,881489.562014778,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,54,512,0,2483341,2758,900882.5,812898.381987349,2637107,18246,988449.666666667,829101.757815985,0,0,0,0,0,0,54,54,0,13,14,702,756,Probe
