dst_port,tot_fwd_pkts,flow_byts_s,fwd_header_len,fwd_pkts_s,pkt_len_max,pkt_len_mean,pkt_size_avg,subflow_fwd_pkts,init_bwd_win_byts
3547,1,2263.67807263981,20,20.2114113628555,58,56.0,56.0,1,0
3446,1,113.112461054471,20,1.00993268798635,58,56.0,56.0,1,0
443,27,29353.7484199041,540,5.8966951426083,19034,2535.96226415094,2535.96226415094,27,65535
80,12,141.306976598132,240,1.65271317658634,54,54.0,54.0,12,0
443,11,11.690574561867,220,0.157980737322527,74,74.0,74.0,11,0
3228,1,3623.65730555196,20,32.3540830852854,58,56.0,56.0,1,0
80,14,163.945647325864,280,1.93201941293106,54,54.0,54.0,14,0
4693,1,1929.13860516389,20,17.2244518318205,58,56.0,56.0,1,0
80,10,110.699570826279,200,1.57691696333731,54,54.0,54.0,10,0
80,15,171.457206793681,300,2.07073921248407,54,54.0,54.0,15,0
443,11,7101.29293696716,220,9.99670108864075,2974,372.095238095238,372.095238095238,11,65535
1662,1,125.224453652417,20,1.11807547903944,58,56.0,56.0,1,0
53,1,279.794602580954,8,1.00645540496746,195,139.0,139.0,1,0
764,1,2383.029426158,20,21.2770484478393,58,56.0,56.0,1,0
53,1,143.422800613932,8,0.515909354726375,202,139.0,139.0,1,0
443,4,9528.88040245291,80,73.4403113869203,93,64.875,64.875,4,65535
80,17,166.030176661027,340,2.09075037276849,54,54.0,54.0,17,0
1324,1,87.1432572904672,20,0.778064797236314,58,56.0,56.0,1,0
4416,1,115.567690163023,20,1.03185437645556,58,56.0,56.0,1,0
4691,1,3122.64755903756,20,27.880781777121,58,56.0,56.0,1,0
80,11,103.965771607553,220,1.51272948106228,54,54.0,54.0,11,0
80,12,97.6517467456199,240,1.2055771203163,54,54.0,54.0,12,0
80,10,96.3450503279369,200,1.37243661435807,54,54.0,54.0,10,0
80,12,144.050728452608,240,1.88301605820403,54,54.0,54.0,12,0
4700,1,99.5355599675088,20,0.888710356852757,58,56.0,56.0,1,0
359,1,2458.0269944036,20,21.9466695928893,58,56.0,56.0,1,0
4241,1,1069.06952770036,20,9.54526364018174,58,56.0,56.0,1,0
53,1,33962.2641509434,8,171.526586620926,107,99.0,99.0,1,0
80,11,135.650614258638,220,1.72703328338544,54,54.0,54.0,11,0
80,11,136.287211416956,220,1.73513810831773,54,54.0,54.0,11,0
2812,1,4564.34917271171,20,40.7531176134974,58,56.0,56.0,1,0
53,1,203.006702368569,8,0.786847683599104,171,129.0,129.0,1,0
53,1,55445.1510333863,8,198.728139904611,195,139.5,139.5,1,0
854,1,2597.70381537748,20,23.1937840658703,58,56.0,56.0,1,0
830,1,2494.43207126949,20,22.271714922049,58,56.0,56.0,1,0
80,11,127.145741355424,220,1.72667056161687,54,54.0,54.0,11,0
1233,1,2370.52087963257,20,21.1653649967194,58,56.0,56.0,1,0
443,4,9623.22925165023,80,74.1674701475933,93,64.875,64.875,4,65535
80,15,171.128830247641,300,2.06677331216957,54,54.0,54.0,15,0
443,10,548.490301158424,80,0.673572763303971,1399,370.136363636364,370.136363636364,10,0
80,11,135.65114669965,220,1.72704006214832,54,54.0,54.0,11,0
53,1,25453.4212695796,8,103.050288540808,162,123.5,123.5,1,0
443,2,6525.5693559263,40,43.5037957061754,93,75.0,75.0,2,65535
80,14,156.519924406674,280,1.9323447457614,54,54.0,54.0,14,0
3365,1,3839.03475697539,20,34.2770960444231,58,56.0,56.0,1,0
443,12,24397.4962885001,240,25.6703161299431,4434,495.869565217391,495.869565217391,12,65535
