src_port,dst_port,protocol,flow_pkts_s,flow_iat_max,bwd_iat_tot,bwd_iat_max,bwd_header_len,bwd_pkts_s,init_bwd_win_byts
7735,80,6,1.92512051254409,2238877,1795113,903059,60,0.41252582411659,0
6787,80,6,2.61711377530232,1650029,5473658,1650041,140,0.964199811953488,0
64329,4872,6,48.2590546051203,0,0,0,20,24.1295273025601,0
64329,1784,6,2.25632278051169,0,0,0,20,1.12816139025584,0
4098,80,6,1.90485578693998,4459967,12238164,5380419,180,0.714320920102491,0
64329,135,6,322.528624415417,0,0,0,20,161.264312207708,0
64329,2844,6,1.64550275868538,0,0,0,20,0.822751379342687,0
3309,80,6,2.95188864295283,1642503,8038851,2099546,160,0.983962880984278,0
64329,494,6,1.78166418124513,0,0,0,20,0.890832090622567,0
64329,1718,6,20.052939760969,0,0,0,20,10.0264698804845,0
3952,80,6,2.20454976744645,3201436,11024852,4123008,200,0.881819906978582,0
