src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
10.0.2.15,110.44.120.81,38756,443,6,2024-02-20 11:45:33,837820,61050.1062280681,100.26019908811,45.3558043493829,54.9043947387267,38,46,6010,45139,732,54,158.157894736842,154.678533589709,5705,60,981.282608695652,1481.50255195078,5705,54,608.916666666667,1174.99455123694,1380612.19543651,760,920,20,17,10094.2168674699,158670,0,31075.4460282806,837192,158670,29,22626.8108108108,44952.7473704711,833211,159065,0,18515.8,40382.7393147122,0,0,0,0,1,0,0,0,0,0,0,1.21052631578947,608.916666666667,42340,0,158378,27,69095.7777777778,52162.2012013761,158643,5273,84943.2222222222,50477.966715473,0,0,9352.75,6.75,0,60802.4209800939,158.157894736842,981.282608695652,0,38,46,6010,45139,Normal
10.0.2.15,103.10.30.17,38624,443,6,2024-02-20 11:45:33,55840,103904.011461318,429.799426934097,196.991404011461,232.808022922636,11,13,1568,4234,733,54,142.545454545455,194.197352119559,2974,60,325.692307692308,768.970779140272,2974,54,241.75,588.13995287403,345908.604166667,220,260,20,4,2427.82608695652,32426,0,6586.94818596115,55744,32426,24,5574.4,9355.12567740274,51636,33045,0,4303,8834.91643046686,0,0,0,0,1,0,0,0,0,0,0,1.18181818181818,241.75,42340,0,31813,6,15909.5,15903.5,32420,5433,18926.5,13493.5,0,0,48,5,0,13789.141051422,142.545454545455,325.692307692308,0,11,13,1568,4234,Normal
10.0.2.15,110.44.120.81,38764,443,6,2024-02-20 11:45:33,660700,8814.89329499016,36.3251097321023,18.1625548660512,18.1625548660512,12,12,1621,4203,732,54,135.083333333333,187.267837749987,2974,60,350.25,796.950659806908,2974,54,242.666666666667,588.790261657088,346673.972222222,240,240,20,4,28725.3913043478,646365,-16,131686.689500938,660625,646365,16,60056.8181818182,185413.317178782,656576,646791,0,59688.7272727273,185662.31369446,0,0,0,0,1,0,0,0,0,0,0,1,242.666666666667,42340,0,0,0,0,0,0,0,0,0,0,0,72,5,0,255319.14893617,135.083333333333,350.25,0,12,12,1621,4203,Normal
10.0.2.15,103.10.30.17,54147,443,17,2024-02-20 11:45:33,18807148,45069.8851309087,62.1040468230483,21.7470506426599,40.3569961803884,409,759,54291,793345,1399,73,132.740831295844,158.559287794844,1274,84,1045.25032938076,442.924712532011,1399,73,725.715753424658,570.75788628089,325764.56475183,3272,6072,8,409,16115.7849185947,5352071,-18,191051.299598404,18794018,5358562,23,46063.7696078431,322620.687950795,18798298,5355569,0,24799.8654353562,236956.611993968,0,0,0,0,1,0,0,0,0,0,0,1.85574572127139,725.715753424658,0,0,5351691,5779,383045.340425532,874915.73284469,5345580,7291,300271.016666667,785877.635946685,261,4,6161,5.95454545454545,8196.72131147541,4259380.30293508,132.740831295844,1045.25032938076,0,409,759,54291,793345,Normal
10.0.2.15,152.195.38.76,48728,80,6,2024-02-20 11:45:33,5742496,72.4423665249397,1.21898212902543,0.696561216585959,0.522420912439469,4,3,236,180,74,54,59,8.66025403784439,60,60,60,0,74,54,59.4285714285714,6.56521445318632,43.1020408163265,80,60,20,0,957082.666666667,5591498,34,2072844.99249909,5742496,5591498,74139,1914165.33333333,2600267.10238267,5668334,5592046,76288,2834167,2757879,0,0,0,0,1,0,0,0,0,0,0,0.75,59.4285714285714,42340,65535,5590984,74071,2832527.5,2758456.5,5591464,74105,1913781,2600514.67761762,0,0,0,0,0,0,59,60,0,4,3,236,180,Normal
10.0.2.15,110.44.120.81,55382,443,17,2024-02-20 11:45:33,10874499,30365.4448816447,47.2665453369392,17.3801110285632,29.886434308376,189,325,27442,302767,1399,73,145.195767195767,184.755691059596,1274,84,931.590769230769,505.220477605289,1399,73,642.429961089494,563.670250864224,317724.151709337,1512,2600,8,189,21197.8538011696,2098885,0,153492.250057593,10871357,2114438,106,57826.3670212766,251639.164731325,10868251,2102848,0,33543.9845679012,193368.117985999,0,0,0,0,1,0,0,0,0,0,0,1.71957671957672,642.429961089494,0,0,2098554,3082,279202.135135135,504602.996949363,2083332,5158,215631.6875,451310.321168177,1529,4,5041.9,5.5,620535.714285714,2887355.40029779,145.195767195767,931.590769230769,0,189,325,27442,302767,Normal
10.0.2.15,157.240.16.20,41044,443,6,2024-02-20 11:45:34,115444,48976.126953328,164.581961816985,77.9598766501507,86.6220851668341,9,10,1450,4204,723,54,161.111111111111,206.65238899307,2974,60,420.4,862.297187749096,2974,54,297.578947368421,654.473377351631,428335.40166205,180,200,20,4,6413.55555555556,37147,0,13260.7599297167,115140,37226,39,14392.5,17369.1740952182,78297,35922,0,8699.66666666667,14332.9196141842,0,0,0,0,1,0,0,0,0,0,0,1.11111111111111,297.578947368421,42340,65535,36039,35745,35892,147,37147,34778,35579.6666666667,1108.369473095,0,0,0,0,0,0,161.111111111111,420.4,0,9,10,1450,4204,Normal
10.0.2.15,142.250.193.106,43008,443,6,2024-02-20 11:45:34,211979,23780.6575179617,127.371107515367,61.326829544436,66.0442779709311,13,14,2783,2258,1299,54,214.076923076923,353.757731427002,884,60,161.285714285714,238.312348631379,1299,54,186.703703703704,300.66368744703,90398.6529492456,260,280,20,7,8153.03846153846,75125,0,18966.9466896833,211979,75595,49,17664.9166666667,25338.5240475787,167409,75125,0,12877.6153846154,23119.1138722202,0,0,0,0,1,0,0,0,0,0,0,1.07692307692308,186.703703703704,42340,65535,72048,34851,50471,15758.9887365909,75124,31774,49649,15818.7417483187,0,0,321,4,0,7438.38997091844,214.076923076923,161.285714285714,0,13,14,2783,2258,Normal
10.0.2.15,192.168.101.1,55265,53,17,2024-02-20 11:45:35,277847,734.217033115348,7.19820620701321,3.59910310350661,3.59910310350661,1,1,82,122,82,82,82,0,122,122,122,0,122,82,102,20,400,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,122,0,1,1,82,122,Normal
10.0.2.15,192.168.101.1,41279,53,17,2024-02-20 11:45:35,272863,791.60604405874,7.32968559313648,3.66484279656824,3.66484279656824,1,1,82,134,82,82,82,0,134,134,134,0,134,82,108,26,676,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,134,0,1,1,82,134,Normal
